簡體中文,漢語拼音,注音符號,越南語,法文,法文 IPA
四季如春,sì jì rú chūn,ㄙˋ ㄐㄧˋ ㄖㄨˊ ㄔㄨㄣ,Bốn mùa như xuân,Quatre saisons comme le printemps,[katʁ(ə) sɛ.zɔ̃ kɔm lə pʁɛ̃.tɑ̃]
不僅...而且,bù jǐn...ér qiě,ㄅㄨˋ ㄐㄧㄣˇ...ㄦˊ ㄑㄧㄝˇ,Không chỉ... mà còn,Non seulement... mais aussi,[nɔ̃ sœl.mɑ̃ mɛ o.si]
少數民族,shǎo shù mín zú,ㄕㄠˇ ㄕㄨˋ ㄇㄧㄣˊ ㄗㄨˊ,Dân tộc thiểu số,Minorité ethnique,[mi.nɔ.ʁi.te ɛt.nik]
熱情,rè qíng,ㄖㄜˋ ㄑㄧㄥˊ,Nhiệt tình,Passionné / Chaleureux,[pa.sjɔ.ne / ʃa.lœ.ʁø]
暑假,shǔ jià,ㄕㄨˇ ㄐㄧㄚˋ,Nghỉ hè,Vacances d'été,[va.kɑ̃s de.te]
寒假,hán jià,ㄏㄢˊ ㄐㄧㄚˋ,Nghỉ đông,Vacances d'hiver,[va.kɑ̃s di.vɛʁ]
有趣,yǒu qù,ㄧㄡˇ ㄑㄩˋ,Thú vị,Intéressant,[ɛ̃.te.ʁɛ.sɑ̃]
約會,yuē huì,ㄩㄝ ㄏㄨㄟˋ,Hẹn hò,Rendez-vous,[ʁɑ̃.de.vu]
加班,jiā bān,ㄐㄧㄚ ㄅㄢ,Tăng ca,Faire des heures supplémentaires,[fɛʁ de.z‿œʁ sy.ple.mɑ̃.tɛʁ]
適應,shì yìng,ㄕˋ ㄧㄥˋ,Thích nghi,S'adapter,[sa.dap.te]
孤單,gū dān,ㄍㄨ ㄉㄢ,Cô đơn,Seul / Solitaire,[sœl / sɔ.li.tɛʁ]
逐漸,zhú jiàn,ㄓㄨˊ ㄐㄧㄢˋ,Dần dần,Progressivement,[pʁɔ.ɡʁɛ.siv.mɑ̃]
習慣,xí guàn,ㄒㄧˊ ㄍㄨㄢˋ,Thói quen,Habitude / S'habituer,[a.bi.tyd / sa.bi.ty.e]
豐富,fēng fù,ㄈㄥ ㄈㄨˋ,Phong phú,Riche / Abondant,[ʁiʃ / a.bɔ̃.dɑ̃]
科學,kē xué,ㄎㄜ ㄒㄩㄝˊ,Khoa học,Science,[sjɑ̃s]
藝術,yì shù,ㄧˋ ㄕㄨˋ,Nghệ thuật,Art,[aʁ]
知識,zhī shi,ㄓ ㄕˋ,Kiến thức,Connaissance,[kɔ.nɛ.sɑ̃s]
許多,xǔ duō,ㄒㄩˇ ㄉㄨㄛ,Nhiều,Beaucoup / De nombreux,[bo.ku / də nɔ̃.bʁø]
網址,wǎng zhǐ,ㄨㄤˇ ㄓˇ,Địa chỉ web,Adresse web,[a.dʁɛs wɛb]
價格,jià gé,ㄐㄧㄚˋ ㄍㄜˊ,Giá cả,Prix,[pʁi]
不但...還,bù dàn...hái,ㄅㄨˋ ㄉㄢˋ...ㄏㄞˊ,Không những... mà còn,Non seulement... mais aussi,[nɔ̃ sœl.mɑ̃ mɛ o.si]
數字,shù zì,ㄕㄨˋ ㄗˋ,Con số,Nombre / Chiffre,[nɔ̃.bʁə / ʃifʁ]
帶有,dài yǒu,ㄉㄞˋ ㄧㄡˇ,Mang theo,Comporter / Porter,[kɔ̃.pɔʁ.te / pɔʁ.te]
結婚,jié hūn,ㄐㄧㄝˊ ㄏㄨㄣ,Kết hôn,Se marier,[sə ma.ʁje]
平時,píng shí,ㄆㄧㄥˊ ㄕˊ,Bình thường,D'ordinaire / En temps normal,[dɔʁ.di.nɛʁ / ɑ̃ tɑ̃ nɔʁ.mal]
一塊兒,yī kuàir,ㄧ ㄎㄨㄞˋ ㄦ,Cùng nhau,Ensemble,[ɑ̃.sɑ̃bl]
或者,huò zhě,ㄏㄨㄛˋ ㄓㄜˇ,Hoặc là,Ou / Ou bien,[u / u bjɛ̃]
偶爾,ǒu 'ěr,ㄡˇ ㄦˇ,Thỉnh thoảng,Occasionnellement,[ɔ.ka.zjɔ.nɛl.mɑ̃]
幾乎,jī hū,ㄐㄧ ㄏㄨ,Hầu như,Presque,[pʁɛsk]
報名,bào míng,ㄅㄠˋ ㄇㄧㄥˊ,Đăng ký,S'inscrire,[sɛ̃s.kʁiʁ]
材料,cái liào,ㄘㄞˊ ㄌㄧㄠˋ,Tài liệu / Nguyên liệu,Matériel / Ingrédients,[ma.te.ʁjɛl / ɛ̃.ɡʁe.djɑ̃]
來得及,lái de jí,ㄌㄞˊ ㄉㄜ˙ ㄐㄧˊ,Kịp,Avoir le temps,[a.vwaʁ lə tɑ̃]
來不及,lái bù jí,ㄌㄞˊ ㄅㄨˋ ㄐㄧˊ,Không kịp,Ne pas avoir le temps,[nə pɑ.z‿a.vwaʁ lə tɑ̃]
