漢字,拼音,越南語翻譯,簡體中文
銀行,yínháng,ngân hàng,银行
教師,jiàoshī,giáo viên,教师
郵局,yóujú,bưu điện,邮局
窗戶,chuānghù,cửa sổ,窗户
破,pò,rách / hỏng,破
不見,bùjiàn,biến mất / không thấy,不见
書桌,shūzhuō,bàn học,书桌
籃球,lánqiú,bóng rổ,篮球
網球,wǎngqiú,quần vợt,网球
棒球,bàngqiú,bóng chày,棒球
哭,kū,khóc,哭
笑,xiào,cười,笑
花,huā,hoa,花
窗,chuāng,cửa sổ,窗
畫,huà,vẽ / bức tranh,画
辦公室,bàngōngshì,văn phòng,办公室
洗衣服,xǐ yīfú,giặt quần áo,洗衣服
煮飯,zhǔfàn,nấu cơm,煮饭
晴天,qíngtiān,trời nắng,晴天
電影,diànyǐng,phim điện ảnh,电影
報紙,bàozhǐ,báo chí,报纸
唱歌,chànggē,hát,唱歌
開車,kāichē,lái xe,开车
騎腳踏車,qí jiǎotàchē,đạp xe đạp,骑脚踏车
鞋子,xiézi,giày,鞋子
襪子,wàzi,tất / vớ,袜子
紙,zhǐ,giấy,纸
電話,diànhuà,điện thoại,电话
電視,diànshì,tivi,电视
電腦,diànnǎo,máy tính,电脑
