繁體,拼音,越南語,簡體,例句
牌子,páizi,Tấm bảng / Biển hiệu,牌子,門口掛著一個牌子，上面寫著「休息中」。
觀眾,guānzhòng,Khán giả,观众,電影結束後，觀眾都站起來鼓掌。
只能,zhǐnéng,Chỉ có thể / Đành phải,只能,因為下雨，我們只能待在家裡。
拒絕,jùjué,Từ chối / Cự tuyệt,拒绝,他拒絕了我的邀請，因為他很忙。
配合,pèihé,Phối hợp / Hợp tác,配合,請大家配合老師的要求。
規矩,guījǔ,Quy củ / Quy tắc,规矩,每個國家都有不同的規矩。
要求,yāoqiú,Yêu cầu,要求,老闆要求員工準時上班。
認為,rènwéi,Cho rằng / Nghĩ rằng,认为,我認為學中文很有趣。
結束,jiéshù,Kết thúc,结束,會議將在下午五點結束。
打掃,dǎsǎo,Quét dọn / Dọn dẹp,打扫,新年快到了，我們要打掃房子。
奇怪,qíguài,Kỳ lạ / Lạ lùng,奇怪,這道菜的味道有點奇怪。
味道,wèidào,Mùi vị / Hương vị,味道,媽媽做的菜味道很好。
容易,róngyì,Dễ dàng,容易,這個問題不容易回答。
影響,yǐngxiǎng,Ảnh hưởng,影响,不要讓天氣影響你的心情。
行為,xíngwéi,Hành為,行为,隨地亂丟垃圾是不好的行為。
避免,bìmiǎn,Tránh / Tránh khỏi,避免,為了避免遲到，我提早出門了。
