漢字,拼音 (Pinyin),越南語翻譯 (Tiếng Việt),泰文翻譯 (ภาษาไทย)
江,Jiāng,Sông / Giang,แม่น้ำ (Maenam)
湄公河,Méi gōng hé,Sông Mê Kông / Cửu Long,แม่น้ำโขง (Maenam Khong)
省,Shěng,Tỉnh,จังหวัด (Changwat)
地形,Dì xíng,Địa hình,ภูมิประเทศ (Phumiprathet)
影響,Yǐng xiǎng,Ảnh hưởng,อิทธิพล (Itthiphon) / ผลกระทบ (Phonkrathop)
受到地形的影響,Shòu dào dì xíng de yǐng xiǎng,Chịu ảnh hưởng của địa hình,ได้รับอิทธิพลจากภูมิประเทศ
岔開,Chà kāi,Tách ra / Rẽ,แยกออก (Yaek ok)
延伸,Yán shēn,Kéo dài / Vươn dài,ขยาย (Khayai) / ทอดยาว (Thot yao)
許多,Xǔ duō,Nhiều / Rất nhiều,มากมาย (Makmai)
豐沛,Fēng pèi,Phong phú / Dồi dào,อุดมสมบูรณ์ (Udomsombun)
水源,Shuǐ yuán,Nguồn nước,แหล่งน้ำ (Laeng nam)
夾雜,Jiā zá,Lẫn lộn / Pha lẫn,ปะปน (Papon)
肥沃,Féi wò,Màu mỡ / Phì nhiêu,อุดมสมบูรณ์ (Udomsombun - 用於土壤)
土壤,Tǔ rǎng,Đất / Thổ nhưỡng,ดิน (Din)
聞名,Wén míng,Nổi tiếng,มีชื่อเสียง (Mi chue siang)
米倉,Mǐ cāng,Kho lúa,ยุ้งฉาง (Yung chang) / อู่ข้าวอู่น้ำ (U khao u nam)
稻穀,Dào gǔ,Lúa / Thóc,ข้าวเปลือก (Khao plueak)
收割,Shōu gē,Thu hoạch / Gặt,เกี่ยวข้าว (Kiao khao) / เก็บเกี่ยว (Kep kiao)
季節,Jì jié,Mùa,ฤดูกาล (Rudu kan)
自稱,Zì chēng,Tự xưng,อ้างตัว (Ang tua)
胡志明市,Hú zhì míng shì,Thành phố Hồ Chí Minh,นครโฮจิมินห์ (Nakhon Ho Chi Min)
村子,Cūn zi,Làng / Thôn,หมู่บ้าน (Muban)
到處,Dào chù,Khắp nơi,ทั่วไป (Thua pai) / ทุกที่ (Thuk thi)
探問,Tàn wèn,Dò hỏi / Thăm dò,สอบถาม (Sop tham)
嫁給,Jià gěi,Gả cho / Lấy chồng,แต่งงานกับ (Taengngan kap)
外國人,Wài guó rén,Người nước ngoài,ชาวต่างชาติ (Chao tang chat)
過好日子,Guò hǎo rì zi,Sống sung sướng / Đổi đời,มีชีวิตที่ดี (Mi chiwit thi di)
支付,Zhī fù,Chi trả / Trả,จ่าย (Chai) / ชำระ (Chamra)
可觀,Kě guān,Đáng kể / Khá lớn,มากพอสมควร (Mak pho somkhuan)
安家費,Ān jiā fèi,Tiền an cư / Tiền sính lễ,ค่าเลี้ยงดู (Kha liang du) / ค่าสินสอด (Kha sinsot)
改善生活,Gǎi shàn shēng huó,Cải thiện cuộc sống,พัฒนาคุณภาพชีวิต (Phatthana khunnaphap chiwit)
消息,Xiāo xí,Tin tức,ข่าว (Khao)
心動,Xīn dòng,Rung động / Xiêu lòng,หวั่นไหว (Wan wai) / สนใจ (Son chai)
地主,Dì zhǔ,Địa chủ,เจ้าของที่ดิน (Chao khong thi din)
只夠,Zhǐ gòu,Chỉ đủ,พอแค่ (Pho khae)
餬口,Hú kǒu,Kiếm sống / Đủ ăn,ประทังชีวิต (Prathang chiwit)
借錢,Jiè qián,Vay tiền,ยืมเงิน (Yuem ngoen)
供給,Gōng jǐ,Cung cấp / Chu cấp,ส่งเสีย (Song sia - 供養學業) / จัดหาให้ (Chat ha hai)
多餘,Duō yú,Dư thừa,เหลือ (Luea)
修整,Xiū zhěng,Tu sửa,ซ่อมแซม (Som saem)
房子,Fáng zi,Nhà,บ้าน (Ban)
稱為,Chēng wéi,Được gọi là,เรียกว่า (Riak wa)
茅屋,Máo wū,Nhà tranh / Túp lều tranh,กระท่อม (Krathom)
根本,Gēn běn,Căn bản / Hoàn toàn (không),...เลย (Loei) / แทบจะ (Thaep cha)
擋不住,Dǎng bú zhù,Không che chắn nổi,กันไม่ได้ (Kan mai dai)
風雨,Fēng yǔ,Mưa gió,ลมฝน (Lom fon)
漫長,Màn cháng,Dài đằng đẵng,ยาวนาน (Yao nan)
雨季,Yǔ jì,Mùa mưa,ฤดูฝน (Rudu fon)
來臨,Lái lín,Đến / Ập tới,มาถึง (Ma thueng)
破漏,Pò lòu,Dột nát,ผุพัง (Phu phang) / รั่ว (Rua)
水獺,Shuǐ tà,Con rái cá,ตัวนาก (Tua nak)
擁有,Yōng yǒu,Sở hữu / Có,ครอบครอง (Khrop khrong) / มี (Mi)
稻田,Dào tián,Ruộng lúa,นาข้าว (Na khao)
水泥,Shuǐ ní,Xi măng,ปูนซีเมนต์ (Pun simen)
蓋（房子）,Gài,Xây (nhà),สร้าง (Sang)
父母親,Fù mǔ qīn,Cha mẹ / Phụ mẫu,พ่อแม่ (Pho mae)
震驚,Zhèn jīng,Chấn động / Sốc,ตกใจ (Tok chai) / ช็อก (Chok)
竟然,Jìng rán,Vậy mà / Lại,กลับ (Klap) / ดัน (Dan)
遙遠,Yáo yuǎn,Xa xôi,ห่างไกล (Hang klai)
年幼,Nián yòu,Nhỏ dại / Còn bé,ยังเล็ก (Yang lek) / เยาว์วัย (Yao wai)
茅草屋,Máo cǎo wū,Nhà tranh,กระท่อมฟาง (Krathom fang)
卻,Què,Lại / Nhưng,แต่ (Tae) / กลับ (Klap)
未來,Wèi lái,Tương lai,อนาคต (Anakhot)
無奈,Wú nài,Bất lực / Đành lòng,จำใจ (Cham chai) / จนปัญญา (Chon panya)
接受,Jiē shòu,Chấp nhận,ยอมรับ (Yom rap)
幸福,Xìng fú,Hạnh phúc,ความสุข (Khwam suk)
注定,Zhù dìng,Định sẵn / Số phận,ถูกกำหนดไว้ (Thuk kamnot wai)
國度,Guó dù,Quốc gia / Xứ sở,ดินแดน (Dindan) / ประเทศ (Prathet)
也許,Yě xǔ,Có lẽ,บางที (Bang thi)
唯一,Wéi yī,Duy nhất,เดียว (Diao) / หนึ่งเดียว (Nueng diao)
生機,Shēng jī,Cơ hội sống / Sinh cơ,ทางรอด (Thang rot) / โอกาส (Okat)
